"ANO","NIVEL","CODMUNRES","TO","TORC","TORCR","TO_NN","TO_N","TO_CBI","TO_CB_N","TO_CB_C","TO_CB_R","TO_CB_O","TO_M","TO_F","TO_F_IF","TO_FT","TO_NT","TO_NT_P","TO_NT_T","TO_PNT","TONT_B","TONT_PT","TONT_A","TONT_PD","TONT_I","TO_MT","TO_MT_DG","TO_MT_PT","TO_MT_AB","TO_MT_42","TO_MT_43","TO_MT_P","TO_MT_P_I","TO_MT_P_ES","TO_MT_P_EFI","TO_MT_P_EFII","TO_MT_P_EM","TO_MT_P_ESI","TO_MT_P_ESC"
2016,"UF",15,38557,0,2113,7432,31125,2046,5066,9024,3893,11096,23910,14605,2500,0,1523,1203,320,634,213,13,2,1218,21,120,25,11,1,72,11,109,107,4,19,32,35,3,4
2016,"MUNICIPIO",150000,26,0,0,19,7,1,0,3,0,3,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO",150010,655,0,34,119,536,23,76,114,76,247,413,242,41,0,24,18,6,13,1,0,0,23,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0
2016,"MUNICIPIO",150013,57,0,6,11,46,1,6,21,3,15,33,24,5,0,4,2,2,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO",150020,235,0,16,56,179,12,25,62,18,62,150,85,16,0,9,7,2,6,2,0,0,7,0,3,0,0,0,3,0,3,3,0,0,1,1,0,0
2016,"MUNICIPIO",150030,101,0,5,26,75,13,15,21,6,20,74,27,6,0,2,1,1,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO",150034,75,0,3,13,62,3,4,6,8,41,53,22,4,0,6,5,1,2,2,0,0,4,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0
2016,"MUNICIPIO",150040,245,0,15,23,222,17,28,77,33,67,146,99,14,0,15,14,1,6,0,0,0,15,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0
2016,"MUNICIPIO",150050,110,0,5,17,93,4,17,35,9,28,67,43,6,0,6,6,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO",150060,641,0,18,187,454,32,68,136,64,154,428,210,44,0,36,23,13,12,8,1,0,20,2,1,0,0,0,1,0,1,1,0,0,1,0,0,0
2016,"MUNICIPIO",150070,61,0,0,11,50,4,8,9,10,19,41,20,2,0,9,6,3,3,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO",150080,2647,0,114,553,2094,163,373,596,337,625,1562,1083,199,0,83,68,15,29,14,0,0,61,0,4,0,0,1,3,0,4,3,0,0,0,3,0,0
2016,"MUNICIPIO",150085,141,0,3,50,91,13,12,27,6,33,107,34,7,0,10,8,2,6,1,0,0,5,2,1,0,0,0,1,0,1,1,0,1,0,0,0,0
2016,"MUNICIPIO",150090,180,0,2,16,164,12,23,48,14,67,102,78,12,0,8,6,2,3,0,0,0,8,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0
2016,"MUNICIPIO",150095,90,0,4,17,73,2,11,25,5,30,59,31,3,0,5,2,3,2,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO",150100,44,0,2,2,42,4,3,5,2,28,32,12,2,0,3,3,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO",150110,38,0,1,5,33,1,5,7,6,14,20,18,3,0,3,2,1,1,0,0,0,3,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0
2016,"MUNICIPIO",150120,123,0,12,24,99,8,9,26,15,41,82,41,7,0,8,8,0,4,0,0,0,8,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0
2016,"MUNICIPIO",150125,14,0,0,3,11,0,1,5,3,2,11,3,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO",150130,411,0,28,79,332,27,62,113,38,92,260,151,31,0,14,10,4,8,5,0,0,9,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0
2016,"MUNICIPIO",150140,9421,0,692,1512,7909,593,1570,2198,1335,2213,5340,4068,564,0,190,141,49,93,21,0,2,159,0,18,9,0,0,7,2,16,16,0,4,5,5,1,1
2016,"MUNICIPIO",150145,80,0,3,1,79,7,15,27,5,25,47,33,5,0,2,1,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO",150150,307,0,12,80,227,24,46,59,35,63,194,113,21,0,10,6,4,8,2,0,0,7,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0
2016,"MUNICIPIO",150157,74,0,1,15,59,0,6,28,6,19,43,31,5,0,4,3,1,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO",150160,48,0,0,12,36,1,3,18,1,13,30,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO",150170,572,0,18,66,506,45,70,147,54,190,349,223,39,0,28,21,7,8,2,0,0,25,0,5,0,1,0,2,2,3,3,0,2,0,1,0,0
2016,"MUNICIPIO",150172,102,0,3,23,79,4,14,32,9,20,74,28,4,0,2,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO",150175,47,0,2,19,28,1,4,6,1,16,27,20,6,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO",150178,192,0,5,46,146,6,27,52,13,48,127,64,13,0,4,3,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO",150180,335,0,9,44,291,18,27,58,20,168,205,130,19,0,32,23,9,10,4,1,0,27,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
